order_id,customer_id,status,created_at,shipped_at,delivered_at,returned_at
1,4043,Complete,2021-07-14 19:24:09,2021-07-15 02:24:09,2021-07-16 11:24:09,
2,6400,Complete,2021-09-30 02:02:29,2021-09-30 04:02:29,2021-10-02 03:02:29,
3,6190,Complete,2021-04-21 12:13:25,2021-04-22 22:13:25,2021-04-24 16:13:25,
4,9205,Complete,2021-09-15 07:21:28,2021-09-16 08:21:28,2021-09-17 15:21:28,
5,7063,Complete,2021-07-21 04:22:16,2021-07-21 06:22:16,2021-07-22 23:22:16,
6,9108,Complete,2021-05-07 12:48:40,2021-05-08 20:48:40,2021-05-09 21:48:40,
7,4597,Complete,2021-07-02 10:00:08,2021-07-02 16:00:08,2021-07-04 07:00:08,
8,5153,Cancelled,2021-01-27 20:56:48,,,
9,4443,Complete,2021-02-10 02:12:06,2021-02-11 23:12:06,2021-02-13 13:12:06,
10,1633,Complete,2021-03-27 22:41:49,2021-03-28 21:41:49,2021-03-30 01:41:49,
11,6164,Complete,2021-02-20 16:34:44,2021-02-21 16:34:44,2021-02-23 11:34:44,
12,9003,Complete,2021-05-15 15:58:18,2021-05-16 08:58:18,2021-05-18 05:58:18,
13,4469,Processing,2021-05-14 22:48:42,,,
14,1212,Cancelled,2021-05-05 14:00:45,,,
15,2877,Complete,2021-07-28 04:08:19,2021-07-28 23:08:19,2021-07-30 08:08:19,
16,746,Complete,2021-05-17 04:07:09,2021-05-17 21:07:09,2021-05-19 16:07:09,
17,2391,Shipped,2021-03-18 04:14:15,2021-03-19 20:14:15,2021-03-21 11:14:15,
18,5251,Complete,2021-02-12 19:39:14,2021-02-13 07:39:14,2021-02-14 08:39:14,
19,1217,Complete,2021-11-01 03:44:40,2021-11-02 01:44:40,2021-11-03 11:44:40,
20,2058,Complete,2021-03-02 02:42:13,2021-03-02 06:42:13,2021-03-03 22:42:13,
21,222,Complete,2021-05-08 17:52:53,2021-05-10 16:52:53,2021-05-11 16:52:53,
22,751,Complete,2021-07-15 12:30:24,2021-07-16 19:30:24,2021-07-17 20:30:24,
23,2332,Complete,2021-03-18 19:20:17,2021-03-20 01:20:17,2021-03-21 21:20:17,
24,2970,Complete,2021-03-22 14:27:24,2021-03-24 12:27:24,2021-03-25 12:27:24,
25,1699,Complete,2021-08-20 14:19:00,2021-08-22 06:19:00,2021-08-23 21:19:00,
26,8663,Complete,2021-03-30 07:58:46,2021-03-31 08:58:46,2021-04-02 07:58:46,
27,2989,Complete,2021-05-30 11:06:03,2021-05-31 11:06:03,2021-06-01 18:06:03,
28,4562,Processing,2021-06-08 08:06:46,,,
29,6407,Complete,2021-03-24 21:09:01,2021-03-25 08:09:01,2021-03-26 11:09:01,
30,2775,Complete,2021-05-28 13:04:50,2021-05-28 17:04:50,2021-05-30 02:04:50,
