order_id,customer_id,status,created_at,shipped_at,delivered_at,returned_at
1,3140,Complete,2021-01-31 18:21:42,2021-02-01 09:21:42,2021-02-02 13:21:42,
2,1730,Complete,2021-09-14 11:19:48,2021-09-15 07:19:48,2021-09-16 08:19:48,
3,3395,Cancelled,2021-04-02 09:26:47,,,
4,2991,Processing,2021-09-29 06:54:00,,,
5,4632,Complete,2021-05-20 14:54:16,2021-05-22 10:54:16,2021-05-23 14:54:16,
6,5503,Complete,2021-04-25 10:21:41,2021-04-25 21:21:41,2021-04-26 22:21:41,
7,3062,Complete,2021-08-22 10:37:05,2021-08-23 21:37:05,2021-08-25 17:37:05,
8,3680,Complete,2021-02-25 07:05:30,2021-02-26 02:05:30,2021-02-27 06:05:30,
9,3610,Complete,2021-01-31 00:40:26,2021-02-01 11:40:26,2021-02-03 09:40:26,
10,6404,Complete,2021-01-24 19:07:06,2021-01-25 19:07:06,2021-01-27 12:07:06,
11,8330,Shipped,2021-09-24 07:13:01,2021-09-24 09:13:01,2021-09-25 18:13:01,
12,7530,Complete,2021-07-14 07:32:34,2021-07-14 17:32:34,2021-07-15 23:32:34,
13,9610,Complete,2021-06-10 08:12:49,2021-06-11 01:12:49,2021-06-12 18:12:49,
14,2424,Returned,2021-09-26 23:41:25,2021-09-28 19:41:25,2021-09-30 15:41:25,2021-10-04 03:41:25
15,8749,Complete,2021-07-01 01:38:19,2021-07-01 09:38:19,2021-07-03 05:38:19,
16,303,Complete,2021-01-30 03:57:49,2021-01-30 13:57:49,2021-02-01 08:57:49,
17,5062,Complete,2021-01-25 15:20:30,2021-01-27 11:20:30,2021-01-29 08:20:30,
18,166,Complete,2021-09-06 23:08:27,2021-09-07 00:08:27,2021-09-08 00:08:27,
19,1343,Complete,2021-07-16 22:49:52,2021-07-18 01:49:52,2021-07-19 20:49:52,
20,9467,Complete,2021-08-03 21:08:15,2021-08-05 13:08:15,2021-08-07 07:08:15,
21,4681,Cancelled,2021-03-17 14:02:51,,,
22,119,Complete,2021-07-21 19:25:55,2021-07-23 13:25:55,2021-07-24 19:25:55,
23,9817,Complete,2021-04-13 05:09:15,2021-04-14 06:09:15,2021-04-15 07:09:15,
24,7726,Complete,2021-01-06 20:54:42,2021-01-06 23:54:42,2021-01-08 10:54:42,
25,9693,Complete,2021-09-12 00:40:03,2021-09-12 17:40:03,2021-09-13 23:40:03,
