product_id,product_name,product_brand,product_price,product_cost,product_category,product_description
1,Small Linen Computer,"Alexander, Cardenas and Dennis",46.14,32.298,Lose until,Especially whose analysis analysis another.
2,Aerodynamic Steel Wallet,Pittman-Howard,16.23,12.984,Hope history,Recognize born issue collection glass.
3,Lightweight Plastic Plate,Holmes-Green,75.99,60.791999999999994,Political television,Congress group your mean remember.
4,Durable Granite Clock,Owens Inc,76.8,53.760000000000005,Interview wait,Enjoy brother need book inside foot.
5,Fantastic Granite Bench,"Jones, Williams and Ross",95.92,57.552,Share tv,Wall sell suggest go little class.
6,Small Steel Pants,Torres Group,70.37,42.222,Medical dream,Health above fish within state too different produce.
7,Gorgeous Copper Shirt,"Chavez, Moore and Morris",28.8,17.28,Visit improve,Yard drug ball argue others million century.
8,Small Concrete Car,Anderson-Scott,99.1,79.28,And reality,True after which local fill piece.
9,Gorgeous Rubber Pants,"Vang, Duncan and Compton",2.42,1.452,Word consumer,Not mention away century.
10,Mediocre Leather Knife,"Maldonado, Rowe and Garcia",64.44,51.552,Address total,Run unit leave ready so.
11,Awesome Linen Lamp,"Nichols, Murray and Morrison",32.43,16.215,Mind series,Just guy myself writer buy.
12,Mediocre Aluminum Bag,"Simmons, Johnson and Carter",78.47,47.082,Pm college,Center rise throughout charge morning play recent.
13,Heavy Duty Linen Gloves,Valdez PLC,30.37,15.184999999999999,Public hotel,Unit return prepare leg young mouth last.
14,Practical Linen Clock,Barnes Ltd,75.8,37.9,Age after,Boy how little beautiful area despite.
15,Enormous Granite Car,Aguilar-Davis,74.59,44.754000000000005,Either memory,Mouth wall term south military.
16,Intelligent Rubber Bench,Small PLC,1.59,1.272,Plan win,Article church require professional act available late.
17,Fantastic Plastic Wallet,Clark-Miller,38.94,31.151999999999997,Design character,Yourself stage dark remain with question.
18,Durable Aluminum Coat,"Flores, Mccarty and Miller",30.21,24.168,Drug history,Case total program may security short.
19,Awesome Paper Shoes,Reyes Ltd,22.94,18.352,City health,Avoid down account prepare matter official shoulder.
20,Incredible Cotton Lamp,Fletcher-Mays,0.9,0.54,Sure fire,Son guy soon table by important leave must.
21,Synergistic Granite Wallet,Anthony-Hernandez,93.42,74.736,Standard television,Dream law fall reveal game.
22,Intelligent Rubber Coat,"Dixon, Jones and Montoya",33.27,16.635,Hair firm,Security on word account type sometimes customer country.
23,Enormous Wooden Car,"Clayton, Dennis and Smith",8.12,6.4959999999999996,Court reach,Question allow carry wish model report.
24,Synergistic Cotton Gloves,Silva Ltd,19.28,15.424000000000001,Tonight be,International their region.
25,Small Rubber Shoes,Cruz-Rice,74.3,59.44,Feel include,Water opportunity truth board soldier side doctor with.
26,Lightweight Granite Lamp,Morris Group,3.59,1.795,Professional need,Federal step read half example party moment.
27,Small Paper Bench,Gallegos-Hanson,45.89,32.123000000000005,Official everyone,Project across that until up watch.
28,Awesome Concrete Knife,Lewis and Sons,18.33,9.165,Choice order,Large catch culture.
29,Practical Plastic Wallet,Rodriguez-Rodriguez,94.39,66.07300000000001,Reality reach,Consider maintain middle office get remember successful artist.
30,Aerodynamic Cotton Coat,Roberts and Sons,28.12,19.684,Have box,Professor tax authority hundred ahead include pass.
31,Gorgeous Aluminum Bottle,"Williams, Sharp and Martinez",33.68,20.208,Hear evidence,No manage decade traditional according defense.
32,Fantastic Iron Bottle,Bullock Inc,2.65,1.5899999999999999,Reflect behind,Be difficult art above.
33,Small Rubber Pants,"Warren, Porter and Ortiz",10.15,7.1049999999999995,Here treatment,His walk there.
34,Sleek Aluminum Lamp,Morales-Garcia,60.22,30.110000000000003,Scene cell,Person heart general oil could market own cell.
35,Rustic Plastic Keyboard,Spencer PLC,74.85,44.91,Then teach,Alone majority magazine under according outside.
36,Mediocre Leather Table,Clarke-Ford,6.34,3.804,Feeling act,Past plant threat end church worry really.
37,Fantastic Iron Hat,"Schwartz, Ortega and Hinton",91.57,45.785,With none,Her serious see indicate term.
38,Lightweight Granite Lamp,Clarke PLC,22.84,18.272,Woman not,Door choice once cup friend about politics.
39,Ergonomic Plastic Coat,Gill-Hill,14.18,11.344,Step condition,Back put country expert teacher produce meeting it.
40,Heavy Duty Concrete Bag,Mendoza Inc,77.88,62.303999999999995,Official thus,Miss camera result head whose society third senior.
41,Rustic Cotton Keyboard,Jackson-Nichols,11.98,8.386,By hard,Figure international have beautiful.
42,Mediocre Bronze Car,"Meyer, Martinez and Anthony",76.95,61.56,All part,Role life budget hit end space sure.
43,Mediocre Marble Wallet,Edwards LLC,26.16,15.696000000000002,Election probably,White fall tend industry.
44,Small Iron Bottle,Dyer-Horn,56.86,28.43,Level world,Mouth store author everybody view look approach.
45,Ergonomic Wooden Lamp,Mcdonald LLC,97.3,58.379999999999995,Rate oil,Learn perhaps research finish improve federal.
46,Gorgeous Rubber Bench,Perez-Welch,73.42,58.736000000000004,Study might,Wonder produce focus high.
47,Lightweight Wool Pants,Dominguez-Henderson,2.75,2.2,Key skill,Few large church challenge customer rule.
48,Gorgeous Wooden Wallet,"Kerr, Howell and Beard",85.15,42.575,Strong guess,Leader successful hand example.
49,Gorgeous Plastic Bench,"Wright, Chen and Johnson",40.8,28.559999999999995,Five traditional,Have writer thus successful office trade always.
50,Rustic Bronze Shoes,Matthews-Harrell,45.24,22.62,Spring with,Sense kitchen garden.
51,Fantastic Steel Clock,Hoffman and Sons,40.16,32.128,With up,Day decision several consumer.
52,Durable Plastic Plate,"Long, Hall and Farrell",17.51,14.008000000000001,School message,Find or watch board inside practice situation.
53,Gorgeous Granite Plate,Navarro-Wilson,32.5,16.25,Board area,Company another do listen put read.
54,Incredible Cotton Car,"Hays, Miller and White",16.56,11.591999999999999,Make method,Now what pattern let type certainly.
55,Sleek Copper Table,"Payne, Lopez and Mckinney",36.99,22.194,Note since,Race trouble note seat stay crime I.
56,Fantastic Leather Table,White Ltd,69.33,48.531,Especially its,Claim dinner vote door.
57,Rustic Paper Watch,"Copeland, Garcia and Murray",22.46,11.23,Good food,Event set event raise bit claim far.
58,Durable Rubber Shoes,Hobbs-Washington,3.15,2.205,Pay benefit,Account marriage star worker.
59,Enormous Steel Car,Shepherd-Horton,80.95,40.475,Mr note,State send according exactly certain surface maintain.
60,Lightweight Bronze Shirt,"Henderson, Armstrong and Fisher",38.15,26.705000000000002,Money clearly,Your difference cover young.
61,Heavy Duty Aluminum Shoes,Vargas Group,65.47,52.376,Pressure economy,Exactly until loss sell.
62,Gorgeous Copper Chair,Hayden PLC,50.69,35.483,Standard year,Wall camera class focus two.
63,Fantastic Copper Bag,George-Davis,16.46,8.23,Team my,Card if team western write fall turn.
64,Aerodynamic Plastic Shirt,Brooks PLC,86.99,69.592,Expect change,Deal technology reflect president.
65,Gorgeous Steel Bench,"Hancock, King and Floyd",9.67,6.769,Citizen simple,Recognize company right since quality.
66,Aerodynamic Steel Bag,Lee LLC,40.71,28.497000000000003,Simple six,Reveal dog weight deal century.
67,Mediocre Bronze Hat,Norris Ltd,20.28,14.196000000000002,Claim seem,Law full spring value prepare gas sport industry.
68,Synergistic Concrete Table,Cook-Mccarthy,7.87,5.509,Anyone table,My young director hold add.
69,Awesome Silk Table,Stokes Group,57.55,28.775,Anything sound,Fire record describe cut common their.
70,Intelligent Leather Clock,Sharp-Martin,5.41,4.328,Democratic smile,Question somebody exactly policy.
71,Fantastic Silk Lamp,Allen-Rodgers,69.58,55.664,Despite environmental,Who red difference.
72,Awesome Wool Shoes,Cox LLC,43.78,30.646000000000004,Senior hold,Wall teach small red.
73,Mediocre Silk Bag,"Mueller, Moran and Mcguire",70.32,42.19199999999999,Physical evidence,Recently commercial course get yourself treat go.
74,Ergonomic Steel Lamp,"Kelly, Cruz and Hubbard",39.18,19.59,Respond head,Gas fight billion tax.
75,Synergistic Leather Knife,"Blanchard, Gibson and Armstrong",45.8,36.64,Stay always,Left use whether rate great break international security.
76,Synergistic Wool Plate,"Hernandez, Kim and Martinez",80.5,56.35,Here reflect,Street agreement story space report bit five.
77,Practical Linen Coat,"Myers, Wilson and Stevenson",57.41,28.704999999999995,Main use,Where skin you assume Mrs decade.
78,Heavy Duty Paper Coat,Willis-Farmer,97.73,78.184,Later throw,Size would story wide audience.
79,Fantastic Copper Shoes,"Williams, Sawyer and Velazquez",32.33,19.398,Data gas,Mrs population beyond break which special family.
80,Small Iron Knife,Larson-Ramirez,48.2,24.1,Organization remain,Provide either place reason item would.
81,Synergistic Iron Chair,Perez Inc,60.22,48.176,Single yet,Thousand Mr budget space.
82,Durable Cotton Hat,Gates-Valentine,15.43,7.715000000000001,Month wide,Once choose plan heavy finally.
83,Sleek Wool Table,Merritt-Fox,74.4,52.080000000000005,Health ball,Describe southern bag marriage enter.
84,Awesome Granite Bottle,Herman-Keller,10.89,5.445,Five significant,Campaign both some memory there same.
85,Incredible Plastic Clock,Dillon-Soto,55.89,27.945,Star debate,Vote election young.
86,Enormous Cotton Watch,"Baird, Flores and Bryan",79.71,55.79699999999999,Close team,Face central fall opportunity you.
87,Sleek Steel Pants,"Wells, Taylor and Oneal",0.39,0.273,Throughout among,Present free owner.
88,Enormous Leather Car,"Miller, Parker and Freeman",55.37,38.759,Focus no,Century young growth school almost.
89,Incredible Silk Table,Williams Inc,38.22,26.753999999999998,Thus political,Great generation amount family test city local.
90,Rustic Linen Pants,Davis-Weeks,94.5,66.15,Executive across,Girl difficult together ball realize say.
91,Enormous Linen Knife,Garza Ltd,78.66,39.33,By recognize,Table occur what audience.
92,Heavy Duty Paper Watch,"Scott, Miller and Brooks",51.1,40.88,Price attack,Past a threat number modern create parent.
93,Rustic Copper Bench,Miller-Steele,53.2,31.920000000000005,Understand carry,Race turn blue help drop forget pay maybe.
94,Fantastic Paper Table,Nielsen-Mills,80.52,64.416,Visit factor,Development house Democrat price will history.
95,Incredible Copper Shoes,"Gutierrez, Pacheco and Edwards",44.34,31.038,Last set,Enjoy also power return ability wife.
96,Aerodynamic Copper Table,"Parker, Rodgers and Higgins",34.88,20.928000000000004,Discover yourself,Stock career particular garden continue cold sometimes cause.
97,Gorgeous Aluminum Computer,Lara-Fisher,97.37,48.685,Subject discover,Special white debate easy imagine coach tough.
98,Incredible Rubber Keyboard,Baxter Inc,23.72,18.976,Some college,Become theory social here lawyer.
99,Rustic Leather Gloves,Smith PLC,82.45,49.470000000000006,Production avoid,Production popular walk.
100,Sleek Aluminum Shirt,Turner-Brown,48.27,38.616,Project large,Despite on why level.
101,Durable Marble Bag,Christensen and Sons,93.1,55.85999999999999,Country technology,Law strategy before behavior up.
102,Rustic Wool Hat,"Mckenzie, Blackburn and Allen",97.48,68.236,Close hit,Suffer professional business military official.
103,Sleek Granite Shirt,Hurley-Jackson,37.29,29.832,Activity campaign,North investment store moment.
104,Incredible Plastic Gloves,Anthony LLC,41.73,33.384,Name myself,Argue method guy party forget.
105,Heavy Duty Marble Bench,Jones-Waters,73.14,36.57,Wear however,Fund kid arrive.
106,Heavy Duty Aluminum Gloves,Vega PLC,62.24,43.568,Cold summer,When boy best run will guess actually.
107,Incredible Plastic Gloves,"Alvarez, Sanders and Peck",74.74,59.791999999999994,Base audience,High show involve none very word.
108,Synergistic Silk Pants,Sims Ltd,4.57,2.285,Which media,Maintain economic toward itself.
109,Heavy Duty Wooden Bag,"Walker, Nelson and Jennings",35.41,17.705,Official fish,Hospital address effort lot response report sing.
110,Lightweight Paper Bag,Mcclure and Sons,87.3,61.11,Trouble kitchen,Send heavy thought old sometimes.
111,Gorgeous Wool Shirt,Wright Group,20.54,16.432,Follow score,Once artist environmental on garden establish director.
112,Rustic Linen Computer,Powell Inc,19.52,11.712,Republican measure,Long hear cultural.
113,Intelligent Silk Chair,Butler PLC,77.89,54.523,Much discover,Production interest much court.
114,Small Linen Plate,Gardner Ltd,23.26,13.956,Type treatment,Form scene community five seek general institution.
115,Ergonomic Leather Lamp,Johnson-Smith,59.38,29.690000000000005,Tell such,Child professor social role than add drug.
116,Small Steel Wallet,Hughes Ltd,70.1,35.05,Beyond audience,Threat human institution turn form.
117,Sleek Wool Knife,Rush Inc,36.65,18.325,Data investment,Analysis no throughout maybe increase join.
118,Intelligent Cotton Knife,Harrison Group,12.77,7.662000000000001,Hotel leave,Customer music total professor include.
119,Gorgeous Paper Wallet,"Clark, Davis and Hunter",60.44,42.308,Meet look,Model get mission college.
120,Small Marble Table,Williams-Goodman,39.48,23.688,Future public,Result whom option indicate arrive beat.
121,Practical Silk Bench,Thompson-Carter,69.6,41.76,Explain visit,Word gun night not significant sense.
122,Heavy Duty Leather Shoes,"Jones, Holt and Rodriguez",11.8,8.260000000000002,Environment support,Quickly ready share and image seat car executive.
123,Heavy Duty Aluminum Bench,"Morgan, Blackburn and Miller",13.22,9.254000000000001,Reveal hit,Include man choice certain know.
124,Gorgeous Iron Watch,Clark-Johnson,46.22,36.976,Someone rise,Game follow continue customer.
125,Small Wooden Lamp,Chapman Inc,43.79,30.653,Fall on,Into where move single loss.
126,Heavy Duty Silk Bag,Wells Group,25.52,12.76,Scientist list,Able animal close method director guess audience within.
127,Heavy Duty Bronze Knife,"Sherman, Martinez and Long",34.94,24.458,Forward a,Success follow during letter wonder.
128,Ergonomic Wool Knife,"Jordan, Reid and Campbell",41.92,25.152,Effort mr,President must off trade.
129,Sleek Paper Computer,"Hobbs, Alvarez and Melendez",66.23,52.984,Church popular,Few health ball raise.
130,Rustic Copper Plate,"Lucero, Simmons and Phelps",3.19,2.2329999999999997,Outside machine,Rich open week according game.
131,Practical Steel Car,Atkins-Hill,43.33,25.998,On ahead,Research hot especially case some house human.
132,Lightweight Wool Lamp,"Johnson, Baker and Abbott",2.74,1.37,Speak team,Simple prepare quality with its reflect.
133,Lightweight Cotton Gloves,"Brown, Curtis and Rios",63.54,31.77,Difference describe,Buy talk help result reflect.
134,Small Aluminum Car,Davis-Brown,97.47,68.229,Media but,Task nothing friend.
135,Rustic Paper Keyboard,Owens-Foster,71.8,43.08,Painting sit,Unit particularly hold why miss structure chair.
136,Aerodynamic Wool Knife,Ramsey Ltd,61.15,48.92,Interest reach,Improve everyone town.
137,Fantastic Cotton Bottle,Henderson-Gonzalez,94.96,47.48,Capital answer,Eight by arrive which let.
138,Synergistic Cotton Chair,Morgan Ltd,30.85,18.51,Either but,Performance member remember name employee.
139,Fantastic Aluminum Car,"Shaw, Villarreal and Farley",65.21,45.647,Fire down,Modern civil big cover professional best account.
140,Rustic Wool Chair,"Davis, Joseph and White",78.33,39.165,Job seem,Miss us catch including focus me sister.
141,Rustic Steel Gloves,Arroyo-Mendoza,70.76,42.456,Could difficult,Garden perform dinner property movie thousand party.
142,Synergistic Linen Plate,Taylor-Klein,12.2,7.3199999999999985,West near,Current score war.
143,Intelligent Aluminum Bottle,"Kerr, Martin and Brown",78.77,55.138999999999996,College analysis,Family act now these career medical.
144,Lightweight Aluminum Lamp,Cordova and Sons,37.13,22.278000000000002,Receive thing,Way person coach water social meeting feeling.
145,Incredible Aluminum Wallet,"Parker, Nichols and French",80.14,40.07,Spend technology,Strategy Congress walk let degree page manager.
